"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
"CHC1060T"	-0.0235060615699231	0.0158260336508108	0.062439822908607	0.0800872409061996	-0.082454882489872	-0.0206910563720686	-0.00116928932114511	0.0411436961911337	0.0719317037724853	-0.0811120624473458	-0.0301851218617686	-0.129809681919776	0.0023753605891215	0.0182059062647176	0.00284118503545007	0.105106231594597	0.04199385978515	0.0108864094007369	0.0416656705805041	-0.142631758042498
"CHC1061T"	-0.0610746319484416	0.0188833597830725	0.0472543117342639	0.00511196377931455	0.00158102195340547	0.0154151714275462	-0.0109889636393794	0.0423845417318539	0.0414662182716602	-0.0514903602377187	-0.0408962326122694	-0.0860143203162917	0.00804266809011347	0.0703110350877979	0.0141378028717735	0.0499642038574727	0.00991622690693332	0.0286477088367287	0.0229617167098017	-0.0674017277876931
"CHC1062T"	-0.00905197611362675	0.0197411229676809	0.0305512291620211	0.066216338769839	-0.035476862581517	-0.0375593385143627	0.0025532160632964	0.0192129091371325	0.060964003322084	-0.063213863123372	-0.0275696663891818	-0.114021493364909	-0.00840681632417082	0.00944738063688709	0.0162128200984668	0.0749838312116616	0.0155533592928359	0.0128583694798379	0.0180282027621904	-0.101639493504259
"CHC1065T"	-0.0201724997948701	-0.00243768861490451	-0.00771446130475714	0.0236975783689164	0.072856495614525	-0.0232342889538766	0.0180586948583821	0.0527975567542944	0.0112021540745365	0.00309406805080421	0.0150913832340669	-0.0367064798512447	0.000345185131696988	0.0243942626927371	0.0258227223959213	0.0072402928448408	0.00504876967895579	0.0169825414018066	-0.0049549005367085	0.0226930335999444
"CHC1146T"	-0.00858933602370795	0.0213404141592203	-0.0222742880744865	0.0350435469643293	0.0985782440171183	-0.00580086575698711	0.0254576897055783	0.0474605521380631	-0.0411877497367885	0.0259716388005663	0.0416840275058564	-0.0341288483059361	-0.0119283650992881	0.0319355833294552	-0.0658072758674809	0.0255165711963986	-0.0602132953521378	-0.0436896741284339	-0.0525982583210634	-0.00130725849337625
"CHC1154T"	-0.00118714974978366	0.000117464861328655	-0.030042786485925	0.0152831697898366	0.0950050499597326	-0.040124801733033	0.0236707580931899	0.0150836897298361	-0.0041262175177187	0.0339698575862375	0.0149786478641323	-0.0383553262537432	-0.0116769616932978	0.0153280158040899	0.00423788103344886	-0.0256886919417283	-0.0260964538313284	0.0146859244437413	-0.00260336330630639	0.0136138224710459
"CHC1162T"	-0.016415950182761	0.0166664187842132	0.0564937648415264	0.0784647160407748	-0.0972416554208962	-0.062623873244699	-0.0113951124508053	0.0391082461040184	0.0757102413024314	-0.0824544311170163	-0.0285924231772232	-0.116915857119153	0.000875903566770959	0.0222090464845667	0.00364797433048119	0.108387751064054	0.0468020262287369	0.0206532273376852	0.0480210037421947	-0.138570840805578
"CHC1192T"	-0.0203798980884086	0.00051243527517884	0.0394514119505431	0.0389416850154424	0.002497381338811	-0.0141960475843373	-0.0110441007410846	0.0254676750743958	0.0133391164872253	-0.0858147803634118	-0.0204030301363338	0.0421928130428444	-0.00533273391385042	0.0283091833566027	0.00758100654505034	0.0542541790660527	0.0231679329066773	-0.00608572243850019	0.0675794214453916	-0.0947267328664547
"CHC1199T"	-0.121960198229872	0.0127669182324979	0.0198023338129356	0.00728562799602839	0.0419100280917381	-0.0232703930732179	-0.0211475625567962	0.056310650545787	0.0204394676508117	-0.0413865047500588	0.022007029159295	0.0642121543881338	0.0133348461735909	0.0255246346857333	0.0179662138166427	-0.00702624359787477	-0.0725396903889422	-0.0540869284598847	-0.012764927471954	0.0205182768397097
"CHC1201T"	-0.00455605145412714	0.0155311196553468	-0.0044933211598089	0.0206338525041636	0.0822550554215105	-0.0358927733333783	0.0232024733826392	0.0174119474420546	-0.014999201805371	-0.00319344437840711	0.00112692541154189	-0.0656178118867357	-0.0252037235844667	0.0119961590352574	0.0305418289494329	-0.0483711279323182	-0.0329616026541457	-0.00600418152223735	-0.00920733087854382	0.00383149527876003
